Nombre_Empresa,Id_Empleo,Ciudad,Categoria,Sueldo,Publicado,Vencimiento,Descripcion,Nombre_cargo,Enlace
Empresa de Servicios a Nivel Nacional,717052,"Sucre, Bolivia","Administración y Oficina,Dirección y Gerencia ",No Declarado ,05 Febrero 2019,07 Marzo 2019,importante empresa comercial busca incorporar a su equipo de trabajo uncoordinador de sucursalsede sucrerequisitos de formacion y experiencia lic en ing comercial o ramas afines experiencia minima de 3 anos en cargos similaresconocimientos tecnicos manejo de microsoft office  conocimiento de outlook tecnicas de servicio al clienteprincipales responsabilidades dirigir coordinar y supervisar la labor de las personas a su cargo a fin de garantizar una atencion de calidad a los clientes para conseguir fidelizarlos garantizar que todas las politicas procedimientos e instructivos se cumplan dentro del marco de lo establecido negociacion con los clientes para ventas o modificacion de condiciones apoyo en el area de marketing eventos lanzamientos etchabilidades o competencias humanas buena actitud responsabilidad y puntualidad trabajo en equipo y bajo presion creatividad proactividadofrecemos buen ambiente laboral oportunidad de crecimiento profesionallas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Coordinador(a) de Sucursal - Sucre,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717052/Coordinador(a)-de-Sucursal---Sucre.html?searchId=1546400657&page=1
Digital Tv Cable,717036,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Atención al Cliente ",Dependiendo de la Experiencia ,05 Febrero 2019,07 Marzo 2019,digital tv cable  internet esta buscando talentopersonas que reten sus limites no se limiten por retos coordinador de call center y atcobjetivo del cargocoordinar planificar y controlar las actividades relacionadas con la atencion de clientes externos e internos en la labor de venta soporte telefonico y respuesta oportuna a necesidades de los clientes promoviendo las mejoras pertinentes y garantizar acciones orientadas al manejo continuo de la informacion y comunicacion con las demas areas de la compania brindando la mayor satisfaccion planificacion y organizacion del equipo de trabajorequisitos profesional en ramas comerciales yo administrativas tres  anos de experiencia en cargos similares manejo de office manejo de estadisticas deseable no excluyente manejo de kpis manejo de personalresponsabilidades velar por un excelente servicio y postventa a los clientes de atc y call center supervisar el registro actualizacion de la base de datos de crm monitorear los resultados de crm dirigir y supervisar campanas promocionales o de comunicacion de los servicios a los clientes preparar y presentar kpis del area asegurar el objetivo de calidad respecto al area atender todas aquellas reclamaciones de complejidad elevada asumiendo la responsabilidad en la respuesta planteada al cliente para intentar minimizar las incidencias negativas de las operaciones realizadas en las centrales y aumentar la calidad de la prestacion del servicio desarrollar y ejercer de coach del equipo evaluando y valorando a su personal periodicamente para proponer las medidas correctoras o motivadoras oportunas  competencias orientacion al logro de objetivos pensamiento estrategico liderazgo innovacion adaptabilidad al cambio orientacion al cliente  ofrecemos desarrollo profesional y oportunidad de crecimiento buen ambiente de trabajo remuneracion atractiva en relacion al mercadolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,COORDINADOR (A) DE CALL CENTER Y ATC,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717036/COORDINADOR-(A)--DE-CALL-CENTER-Y-ATC.html?searchId=1546400657&page=1
Electro Hogar S.R.L.,717026,"Santa Cruz de la Sierra, Bolivia",Administración y Oficina ,De Bs. 2.060 a Bs. 2.999 ,05 Febrero 2019,07 Marzo 2019,secretaria recepcionista formacion  conocimientos secretariado ejecutivo yo carreras administrativas manejo de paquetes office experiencia un  ano en cargos similares atencion al cliente competencias capacidad de organizacion facilidad de palabras y excelente diccion responsable y constante empatica interesadas enviar su hoja de vida indicando su pretension salarial por trabajopolisbo,Secretaria Recepcionista,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717026/Secretaria-Recepcionista.html?searchId=1546400657&page=1
Cooperativa de Ahorro y Crédito Abierta Jesús Nazareno R.L.,717041,"Sucre, Bolivia",Administración y Oficina ,No Declarado ,05 Febrero 2019,07 Marzo 2019,ejecutivo de negociosede chuquisacaformacionformacion o conocimientos en carreras empresarialesconocimientos solidos conocimientos sobre evaluacion de cartera de credito solidos conocimientos sobre tecnicas de negociacion solidos conocimientos sobre analisis financiero conocimientos y tecnicas sobre atencion al clienteaptitudes habilidad de relacionamiento interpersonal iniciativa y creatividad para brindar asesoramiento capacidad de analisis habilidad para trabajo bajo presionexperienciaexperiencia minima de un  ano en cargos similareslas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Ejecutivo(a) de Negocio - Chuquisaca,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717041/Ejecutivo(a)-de-Negocio---Chuquisaca.html?searchId=1546400657&page=1
Canedo Strampfer Consultores SRL,716469,"Cochabamba, Bolivia",Arquitectura ,Negociable ,05 Febrero 2019,07 Marzo 2019,arquitectofunciones elaboracion de planos calculos mediciones supervision de obra cumpliendo con las especificaciones tecnicas municipales seguimiento y control a la ejecucion de proyectos estructurales hidrosanitarios electricos y otros requisitos capacidad de manejo de gente  experiencia de trabajo en campo y escritorio  manejo avanzado de los paquetes excel archicad vectorworks  capacidad de trabajo bajo presionlas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Arquitecto(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716469/Arquitecto(a).html?searchId=1546400657&page=1
AutoStar,698995,"La Paz, Bolivia",Administración y Oficina ,No Declarado ,05 Febrero 2019,07 Marzo 2019,autostar desea incorporar a su equipo de trabajo a un profesional para el puesto de asistente administrativo principales funciones asistir a nuestra area administrativa en todo el proceso de documentacion de la comercializacion de vehiculos administracion y control de documentacion atencion y soporte al area de ventas revision y archivo de documentos elaboracion de reportes requisitos indispensables licenciado en ingenieria comercial administracion de empresa o ramas afines experiencia en archivo y administracion de documentacion solidos conocimientos de microsoft office ofrecemos estabilidad laboral capacitacion permanente remuneracion acorde al cargo las personas interesadas pueden enviar su hoja de vida incluyendo su pretension salarial por trabajopolisbo,Asistente Administrativo(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698995/Asistente-Administrativo(a).html?searchId=1546400657&page=1
PERTEC S.R.L.,717011,"Santa Cruz de la Sierra, Bolivia",Atención al Cliente ,No Declarado ,05 Febrero 2019,07 Marzo 2019,pertec srlempresa lider en la comercializacion de elementos de sujecion requiere incorporaradministrador de tiendasbase santa cruzrequisitos titulado en ingeniera comercial ingenieria industrial administracion de empresas marketing o ramas afines experiencia en cargos similares no excluyentecaracteristicas orientacion de servicio al cliente capacidad de analisis y planificacion tolerancia al trabajo bajo presion disponibilidad de tiempo completo solida garantialas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Administrador(a) de Tiendas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717011/Administrador(a)-de-Tiendas---Santa-Cruz.html?searchId=1546400657&page=1
Importante Empresa,717002,"Santa Cruz de la Sierra, Bolivia",Administración y Oficina ,No Declarado ,05 Febrero 2019,07 Marzo 2019,importante empresa requiere incorporar a su equipo de trabajooperador de grua y pala cargadorarequisitos bachiller en humanidades profesional certificado en operacion de gruas de 45 tn licencia categoria t experiencia minima de 2 anos en cargos similarescompetencias orientacion al detalle planificacion y organizacion orientacion a resultadoslas personas interesadas favor enviar su hoja de vida indicando sus pretensiones salariales por trabajopolisbo,Operador de Grúa y Pala Cargadora,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/717002/Operador-de-Grúa-y-Pala-Cargadora.html?searchId=1546400657&page=1
Importante Empresa Comercial,716821,"Santa Cruz de la Sierra, Bolivia",Contabilidad y Economía ,No Declarado ,05 Febrero 2019,06 Marzo 2019,importante empresa del rubro comercial busca incorporar a una persona para el cargo deauxiliar contablesede santa cruzformacionlicenciado en contaduria publica contabilidad general o auditoria conocimientosmanejo de microsoft excel a nivel intermedio o avanzadoexperienciaexperiencia laboral en el area contable ofrecemos estabilidad laboral capacitacion constante  crecimiento profesional  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Auxiliar Contable - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716821/Auxiliar-Contable---Santa-Cruz.html?searchId=1546400657&page=1
Importante Empresa Comercial,702806,"La Paz, Bolivia",Contabilidad y Economía ,No Declarado ,05 Febrero 2019,07 Marzo 2019,importante empresa comercial requiere incorporar a su equipo de trabajo un profesional calificado para ocupar el cargo de analista contable  educacion licenciado en contaduria publica o auditoria financiera diplomado en administracion tributaria financiera o areas relacionadas formacion manejo de microsoft excel a nivel superior conocimiento del sistema sap  experiencia experiencia minima de 3 anos en el area contable experiencia minima de 1 ano en cargos similares habilidades tolerancia de presion toma de decisiones trabajo en equipo ofrecemos estabilidad laboral formar parte de un equipo con excelente clima laboral capacitacion constante   las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Analista Contable,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/702806/Analista-Contable.html?searchId=1546400657&page=1
